id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,condtion
6762700020,2014-10-13,7700000.0,6,8.0,12050,27600,2.5,0.0,3.0,8.0,8570,3480.0,1910,98102,3940,8800,3.0
9808700762,2014-06-11,7060000.0,5,4.5,10040,37325,2.0,1.0,2.0,7.0,7680,2360.0,1940,98004,3930,25449,2.0
9208900037,2014-09-19,6890000.0,6,7.75,9890,31374,2.0,0.0,4.0,8.0,8860,1030.0,2001,98039,4540,42730,2.0
8907500070,2015-04-13,5350000.0,5,5.0,8000,23985,2.0,0.0,4.0,6.0,6720,1280.0,2009,98004,4600,21750,2.0
1247600105,2014-10-20,5110000.0,5,5.25,8010,45517,2.0,1.0,4.0,6.0,5990,2020.0,1999,98033,3430,26788,2.0
1924059029,2014-06-17,4670000.0,5,6.75,9640,13068,1.0,1.0,4.0,6.0,4820,4820.0,1983,98040,3270,10454,2.0
7738500731,2014-08-15,4500000.0,5,5.5,6640,40014,2.0,1.0,4.0,6.0,6350,290.0,2004,98155,3030,23408,2.0
3835500195,2014-06-18,4490000.0,4,3.0,6430,27517,2.0,0.0,0.0,6.0,6430,0.0,2001,98004,3720,14592,2.0
6065300370,2015-05-06,4210000.0,5,6.0,7440,21540,2.0,0.0,0.0,6.0,5550,1890.0,2003,98006,4740,19329,2.0
6447300265,2014-10-14,4000000.0,4,5.5,7080,16573,2.0,0.0,0.0,6.0,5760,1320.0,2008,98039,3140,15996,2.0
8106100105,2014-11-14,3850000.0,4,4.25,5770,21300,2.0,1.0,4.0,7.0,5770,0.0,1980,98040,4620,22748,3.0
853200010,2014-07-01,3800000.0,5,5.5,7050,42840,1.0,0.0,2.0,8.0,4320,2730.0,1978,98004,5070,20570,3.0
2303900100,2014-09-11,3800000.0,3,4.25,5510,35000,2.0,0.0,4.0,8.0,4910,600.0,1997,98177,3430,45302,2.0
7397300170,2014-05-30,3710000.0,4,3.5,5550,28078,2.0,0.0,2.0,6.0,3350,2200.0,2000,98039,2980,19602,3.0
4389201095,2015-05-11,3650000.0,5,3.75,5020,8694,2.0,0.0,1.0,6.0,3970,1050.0,2007,98004,4190,11275,2.0
4217402115,2015-04-21,3650000.0,6,4.75,5480,19401,1.5,1.0,4.0,7.0,3910,1570.0,1936,98105,3510,15810,4.0
2425049063,2014-09-11,3640000.0,4,3.25,4830,22257,2.0,1.0,4.0,7.0,4830,0.0,1990,98039,3820,25582,3.0
3625049042,2014-10-11,3640000.0,5,6.0,5490,19897,2.0,0.0,0.0,6.0,5490,0.0,2005,98039,2910,17600,2.0
