price,lat,long,zipcode
221900.0,47.5112,-122.257,98178
538000.0,47.721000000000004,-122.319,98125
180000.0,47.7379,-122.23299999999999,98028
604000.0,47.5208,-122.39299999999999,98136
510000.0,47.6168,-122.045,98074
1230000.0,47.6561,-122.005,98053
257500.0,47.3097,-122.32700000000001,98003
291850.0,47.4095,-122.315,98198
229500.0,47.5123,-122.337,98146
323000.0,47.3684,-122.031,98038
662500.0,47.6007,-122.145,98007
468000.0,47.69,-122.292,98115
310000.0,47.7558,-122.229,98028
400000.0,47.6127,-122.045,98074
530000.0,47.67,-122.39399999999999,98107
650000.0,47.5714,-122.375,98126
395000.0,47.7277,-121.962,98019
485000.0,47.6648,-122.34299999999999,98103
189000.0,47.3089,-122.21,98002
230000.0,47.3343,-122.306,98003
385000.0,47.7025,-122.34100000000001,98133
2000000.0,47.5316,-122.23299999999999,98040
285000.0,47.3266,-122.169,98092
252700.0,47.3533,-122.166,98030
329000.0,47.3739,-122.17200000000001,98030
233000.0,47.3048,-122.21799999999999,98002
937000.0,47.6386,-122.36,98119
667000.0,47.6221,-122.314,98112
438000.0,47.695,-122.304,98115
719000.0,47.7073,-122.11,98052
580500.0,47.5391,-122.07,98027
280000.0,47.7274,-122.35700000000001,98133
687500.0,47.6823,-122.368,98117
535000.0,47.6889,-122.375,98117
322500.0,47.4276,-122.15700000000001,98058
696000.0,47.6827,-122.31,98115
550000.0,47.6621,-122.132,98052
640000.0,47.6702,-122.36200000000001,98107
240000.0,47.3341,-122.28200000000001,98001
605000.0,47.5301,-122.18,98056
625000.0,47.6145,-122.027,98074
775000.0,47.445,-122.34700000000001,98166
861990.0,47.6848,-122.016,98053
685000.0,47.6413,-122.36399999999999,98119
309000.0,47.4485,-122.175,98058
488000.0,47.7443,-121.977,98019
210490.0,47.3066,-122.37100000000001,98023
785000.0,47.6194,-122.15100000000001,98007
450000.0,47.6796,-122.301,98115
1350000.0,47.4041,-122.45100000000001,98070
228000.0,47.4258,-122.322,98148
345000.0,47.4934,-122.189,98056
600000.0,47.6808,-122.384,98117
585000.0,47.6989,-122.369,98117
920000.0,47.6571,-122.281,98105
885000.0,47.6597,-122.29,98105
292500.0,47.3663,-122.11399999999999,98042
301000.0,47.3663,-122.12200000000001,98042
951000.0,47.588,-122.116,98008
430000.0,47.5059,-122.149,98059
650000.0,47.4336,-122.339,98166
289000.0,47.4366,-122.335,98148
505000.0,47.4428,-122.344,98166
549000.0,47.6765,-122.32,98115
425000.0,47.6113,-122.29700000000001,98122
317625.0,47.5747,-122.304,98144
975000.0,47.5815,-122.19200000000001,98004
287000.0,47.3378,-122.257,98001
204000.0,47.3621,-122.11,98042
1330000.0,47.6303,-122.215,98004
1040000.0,47.6525,-122.16,98005
325000.0,47.7362,-122.179,98034
571000.0,47.7168,-122.287,98125
360000.0,47.3608,-122.036,98038
349000.0,47.3511,-122.073,98042
832500.0,47.5822,-121.98700000000001,98075
380000.0,47.6034,-122.125,98008
480000.0,47.5636,-122.39399999999999,98116
410000.0,47.7073,-122.34,98133
720000.0,47.342,-122.025,98010
390000.0,47.3512,-122.008,98038
360000.0,47.349,-122.031,98038
355000.0,47.5474,-122.291,98118
356000.0,47.4811,-122.149,98059
315000.0,47.7264,-122.31,98125
940000.0,47.6337,-122.365,98119
305000.0,47.2909,-122.189,98092
461000.0,47.5228,-122.199,98056
215000.0,47.518,-122.194,98056
335000.0,47.5394,-122.387,98136
243500.0,47.2897,-122.37200000000001,98023
1100000.0,47.6506,-122.391,98199
153000.0,47.321999999999996,-122.351,98023
430000.0,47.687,-122.38600000000001,98117
700000.0,47.687,-122.38600000000001,98117
905000.0,47.5873,-122.249,98040
247500.0,47.3576,-122.277,98032
199000.0,47.3036,-122.37799999999999,98023
314000.0,47.4109,-121.958,98038
437500.0,47.4838,-121.714,98045
850830.0,47.6415,-122.315,98102
555000.0,47.6775,-122.37200000000001,98117
699950.0,47.7731,-122.08,98077
1090000.0,47.5814,-122.196,98004
290000.0,47.4375,-122.184,98058
375000.0,47.4431,-122.133,98058
460000.0,47.6878,-122.38,98117
188500.0,47.3813,-122.322,98198
680000.0,47.7304,-122.08200000000001,98077
470000.0,47.6417,-122.109,98052
597750.0,47.5386,-122.053,98027
570000.0,47.6823,-122.34899999999999,98103
272500.0,47.3624,-122.031,98038
329950.0,47.5474,-122.295,98108
480000.0,47.3183,-122.25299999999999,98001
740500.0,47.6981,-122.368,98117
518500.0,47.6824,-122.34700000000001,98103
205425.0,47.5009,-122.24799999999999,98178
171800.0,47.4965,-122.303,98168
535000.0,47.586999999999996,-122.294,98144
660000.0,47.7728,-122.38600000000001,98177
391500.0,47.7288,-122.226,98034
395000.0,47.6999,-122.36399999999999,98117
445000.0,47.5299,-122.266,98118
770000.0,47.6897,-122.098,98052
1450000.0,47.6141,-122.212,98004
445000.0,47.5091,-122.244,98178
